"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.996178450E-1,3.077775426E-2,1.321574450E-1,-1.816625446E-1
9.096886450E-1,2.398586832E-2,1.465817839E-1,-2.080286890E-1
9.197899640E-1,1.927576587E-2,1.626169980E-1,-2.314236909E-1
9.298607650E-1,1.572088525E-2,1.802718490E-1,-2.460092157E-1
9.399315650E-1,1.237092540E-2,1.985631734E-1,-2.488647848E-1
9.500023660E-1,9.234354831E-3,2.174817473E-1,-2.380435169E-1
9.600731670E-1,8.264827542E-3,2.370349020E-1,-2.213289887E-1
9.701439680E-1,9.446653537E-3,2.542957067E-1,-2.074792087E-1
9.802147690E-1,9.843971580E-3,2.702479064E-1,-2.052512467E-1
9.902855690E-1,1.138025150E-2,2.819719017E-1,-2.078399807E-1
1.000356370E0,1.597978920E-2,2.914074957E-1,-2.201085985E-1
1.010457688E0,2.266136743E-2,2.995180488E-1,-2.333033234E-1
1.020497972E0,2.947367355E-2,3.043361902E-1,-2.415849268E-1
1.030599290E0,3.348666430E-2,3.058421314E-1,-2.420321852E-1
1.040700608E0,3.857808188E-2,3.040079176E-1,-2.463209629E-1
1.050740892E0,4.570743069E-2,3.008082807E-1,-2.534835935E-1
1.060811692E0,5.096646398E-2,3.001331389E-1,-2.508732677E-1
1.070882493E0,5.336767808E-2,3.029249310E-1,-2.336250246E-1
1.080953294E0,5.581814796E-2,3.062827289E-1,-2.134189755E-1
1.091054612E0,6.025522202E-2,3.121095300E-1,-2.009533346E-1
1.101216966E0,6.569729745E-2,3.233157396E-1,-2.040117532E-1
1.111379319E0,7.114509493E-2,3.359758258E-1,-2.187020183E-1
1.121572190E0,7.655667514E-2,3.490983844E-1,-2.323805541E-1
1.131765061E0,7.993396372E-2,3.578261137E-1,-2.353225946E-1
1.141927415E0,8.024124801E-2,3.631752133E-1,-2.294883877E-1
1.161519700E0,7.725202292E-2,3.668904901E-1,-2.207254469E-1
1.171559983E0,7.777185738E-2,3.663633466E-1,-2.275514156E-1
1.181661302E0,7.897119224E-2,3.646635711E-1,-2.480226755E-1
1.191701585E0,8.281043917E-2,3.628200591E-1,-2.636631131E-1
1.201802903E0,8.542545885E-2,3.608831763E-1,-2.647471726E-1
1.211873704E0,8.296023309E-2,3.569451571E-1,-2.483601868E-1
1.222371751E0,8.031673729E-2,3.510553241E-1,-2.290976644E-1
1.242177659E0,7.753929496E-2,3.433184624E-1,-2.393569946E-1
